DSE,1,sii:VMADD.ADDRESS,http://services.land.vic.gov.au/SpatialDatamart/dataSearchViewMetadata.html?anzlicId=ANZVI0803003126&extractionProviderId=1
DSE,4,sii:VMADMIN.DSE_REGION,http://services.land.vic.gov.au/SpatialDatamart/dataSearchViewMetadata.html?anzlicId=ANZVI0803003440&extractionProviderId=1
DSE,2,sii:VMADMIN.LGA_POLYGON,http://services.land.vic.gov.au/SpatialDatamart/dataSearchViewMetadata.html?anzlicId=ANZVI0803002905&extractionProviderId=1
DSE,4,sii:VMADMIN.LOCALITY_POLYGON,http://services.land.vic.gov.au/SpatialDatamart/dataSearchViewMetadata.html?anzlicId=ANZVI0803003027&extractionProviderId=1
DSE,4,sii:VMADMIN.PARISH_POLYGON,http://services.land.vic.gov.au/SpatialDatamart/dataSearchViewMetadata.html?anzlicId=ANZVI0803002716&extractionProviderId=1
DSE,4,sii:VMADMIN.POSTCODE_POLYGON,http://services.land.vic.gov.au/SpatialDatamart/dataSearchViewMetadata.html?anzlicId=ANZVI0803003025&extractionProviderId=1
DSE,4,sii:VMADMIN.STATE_ASSEMBLY_2001,http://services.land.vic.gov.au/SpatialDatamart/dataSearchViewMetadata.html?anzlicId=ANZVI0803002630&extractionProviderId=1
DSE,4,sii:VMADMIN.STATE_COUNCIL_2005,http://services.land.vic.gov.au/SpatialDatamart/dataSearchViewMetadata.html?anzlicId=ANZVI0803003063&extractionProviderId=1
DSE,1,sii:VMADMIN.TOWNSHIP_POLYGON,http://services.land.vic.gov.au/SpatialDatamart/dataSearchViewMetadata.html?anzlicId=ANZVI0803002717&extractionProviderId=1
DSE,4,sii:VMADMIN.VICGOV_REGION,http://services.land.vic.gov.au/SpatialDatamart/dataSearchViewMetadata.html?anzlicId=ANZVI0803003034&extractionProviderId=1
DSE,4,sii:VMADMIN.WARD_2008,http://services.land.vic.gov.au/SpatialDatamart/dataSearchViewMetadata.html?anzlicId=ANZVI0803003590&extractionProviderId=1
DSE,5,sii:VMCLTENURE.CL_TENURE_VIEW,
DSE,5,sii:VMELEV.EL_CONTOUR,http://services.land.vic.gov.au/SpatialDatamart/dataSearchViewMetadata.html?anzlicId=ANZVI0803002504&extractionProviderId=1
DSE,7,sii:VMELEV.EL_CONTOUR_1TO5M,http://services.land.vic.gov.au/SpatialDatamart/dataSearchViewMetadata.html?anzlicId=ANZVI0803002813&extractionProviderId=1
DSE,7,sii:VMELEV.EL_GRND_SURFACE_POINT,http://services.land.vic.gov.au/SpatialDatamart/dataSearchViewMetadata.html?anzlicId=ANZVI0803002502&extractionProviderId=1
DSE,2,sii:VMFEAT.FOI_INDEX_CENTROID,http://services.land.vic.gov.au/SpatialDatamart/dataSearchViewMetadata.html?anzlicId=ANZVI0803003644&extractionProviderId=1
DSE,2,sii:VMFEAT.FOI_POLYGON,http://services.land.vic.gov.au/SpatialDatamart/dataSearchViewMetadata.html?anzlicId=ANZVI0803003642&extractionProviderId=1
